clean_mse,adv_mse,mse_ratio,clean_rel_l2,adv_rel_l2,rel_l2_ratio,clean_psnr,adv_psnr,clean_ssim,adv_ssim,pred_shift_rel_l2,init_shift_rel_l2,delta_l2,delta_linf,delta_mean_abs,clean_sino_l2,adv_sino_l2,success_rel_l2,success_mse,clean_e_ran_l2,clean_e_nul_l2,clean_e_ran_frac,clean_e_nul_frac,adv_e_ran_l2,adv_e_nul_l2,adv_e_ran_frac,adv_e_nul_frac
8.807808171695797e-07,8.817128218652215e-07,1.001058157350244,0.02034692786621103,0.020357688585649285,1.0005288621215453,60.53354246175815,60.52894937245345,0.9993799163253356,0.9993800234967616,7.134526794904418e-05,1.408993507826929e-05,8.734333823667839e-05,9.5367431640625e-06,1.8018404546182865e-07,155.35678100585938,155.3567657470703,0.0,0.0,0.0953955128788948,0.0730096623301506,0.7941161530568038,0.607766030454693,0.09543970227241516,0.07305645197629929,0.7940640555047037,0.6078340685881607
1.215727365888597e-06,1.215092311213084e-06,0.9994776339717838,0.016437857238776627,0.016433561751219107,0.9997386832422789,54.60510369097373,54.607372484413915,0.9992147909116438,0.9992151278476823,5.865620589977207e-05,1.7374252285089846e-05,0.00018035869288723916,2.193450927734375e-05,3.943034414533031e-07,319.69256591796875,319.69256591796875,0.0,0.0,0.11928034573793411,0.0754365622997284,0.8451636972636387,0.5345075377478655,0.11925627291202545,0.07540567219257355,0.8452139972704007,0.5344283202424301
8.371421245101374e-08,8.370208348651431e-08,0.9998551146317416,0.0705098554770758,0.07050474177268849,0.9999274753245101,60.40799099511103,60.408620638474865,0.9996772663098643,0.9996774788105945,0.00014830794465107782,6.077524352336442e-06,3.3528592666698387e-06,3.2782554626464844e-07,8.782537364027121e-09,6.666319847106934,6.666319370269775,0.0,0.0,0.03069419227540493,0.02072293497622013,0.8287940363593056,0.5595535718955919,0.030696207657456398,0.020715156570076942,0.8289085713383222,0.5593841111959361
2.517215989428223e-06,2.5173294488922693e-06,1.0000450733923996,0.040776561786700735,0.0407774863124627,1.000022672969997,52.61204846989467,52.6118531153372,0.998769436647289,0.9987693686890237,7.569063443178036e-05,1.1954140908202366e-05,6.76748386467807e-05,1.1444091796875e-05,1.5395261243611458e-07,114.09696197509766,114.09696197509766,0.0,0.0,0.15636132657527924,0.12958860397338867,0.769944050594329,0.6381115896077965,0.15636619925498962,0.12958987057209015,0.7699505872532958,0.6381033588106191
2.52272388934216e-06,2.5224708224413916e-06,0.9998996850579497,0.03800293920975212,0.03800103118907272,0.9999497928128962,49.086574642218295,49.08701071783851,0.9985898954193619,0.9985895533574201,6.497778691678844e-05,1.3802407108161565e-05,9.412114013684914e-05,1.33514404296875e-05,2.0369654407659255e-07,167.48199462890625,167.48199462890625,0.0,0.0,0.13586698472499847,0.15123645961284637,0.6682964334939842,0.7438951175526158,0.13585233688354492,0.151235893368721,0.6682579356993222,0.7439296829531811
3.8624585840807413e-07,3.861209449951275e-07,0.9996765961104115,0.013999153966689389,0.013996888311769108,0.9998381577254117,55.312813157730965,55.3142175905677,0.9992696471958832,0.9992694244513554,5.118950237622673e-05,1.9663562876397616e-05,0.000131369597511366,1.71661376953125e-05,2.72353645414114e-07,233.33865356445312,233.3386688232422,0.0,0.0,0.07087618857622147,0.036122240126132965,0.8909605470119027,0.4540804389821844,0.07085137814283371,0.03614260256290436,0.8907928313999356,0.454409951014179
4.36367372458335e-07,4.363239156646159e-07,0.9999004123670515,0.016635533392620923,0.01663470371923197,0.9999501264330171,53.34595943648622,53.34639281024726,0.9987395932616101,0.9987392929117066,5.148757559158088e-05,2.123426031885675e-05,0.0001337273424724117,1.71661376953125e-05,2.884145828829787e-07,214.55682373046875,214.5568084716797,0.0,0.0,0.06617627292871475,0.0526321679353714,0.7826474704540971,0.6224652927115774,0.06617815792560577,0.05262302979826927,0.7827088002420839,0.6223882593530159
2.019711928369361e-06,2.0198035599605646e-06,1.0000453686438726,0.02536214685557989,0.025362724414438206,1.0000227724751223,47.16738962161935,47.167193081488826,0.9941780204751804,0.9941788531661643,7.816305119177345e-05,2.3289494979095516e-05,0.00016894626605790108,1.811981201171875e-05,4.140616738368408e-07,282.1012268066406,282.1011962890625,0.0,0.0,0.12349525094032288,0.13356603682041168,0.6788840176544023,0.7342456248996536,0.12349183112382889,0.13357482850551605,0.6788497589858714,0.7342772336627185
1.921058810694376e-06,1.9201602299290244e-06,0.9995322471335342,0.011745417510210946,0.01174267102326765,0.9997661652350026,55.44483265956838,55.44686558799658,0.9985603157774283,0.9985599847361786,5.59115987545284e-05,2.8048149178772135e-05,0.0004530764417722821,3.62396240234375e-05,9.494169148638321e-07,721.986083984375,721.9861450195312,0.0,0.0,0.1380193531513214,0.11146876960992813,0.7779643994969528,0.6283085120474039,0.13798421621322632,0.11144621670246124,0.7779482568304501,0.628328314595433
1.2733460152958287e-07,1.2732009224691865e-07,0.99988605388881,0.055511648096733826,0.05550848788253035,0.9999430711515181,61.23591670272428,61.23641159264869,0.9997206038363163,0.9997206470340658,9.602201106297697e-05,6.006397381858264e-06,5.584327027463587e-06,5.960464477539062e-07,1.3716227265092584e-08,10.682961463928223,10.682962417602539,0.0,0.0,0.037658557295799255,0.0258472990244627,0.8244807750544637,0.5658900038406582,0.03765422850847244,0.02584901452064514,0.8244329364046538,0.5659597816385202
