clean_mse,adv_mse,mse_ratio,clean_rel_l2,adv_rel_l2,rel_l2_ratio,clean_psnr,adv_psnr,clean_ssim,adv_ssim,pred_shift_rel_l2,init_shift_rel_l2,delta_l2,delta_linf,delta_mean_abs,clean_sino_l2,adv_sino_l2,success_rel_l2,success_mse,clean_e_ran_l2,clean_e_nul_l2,clean_e_ran_frac,clean_e_nul_frac,adv_e_ran_l2,adv_e_nul_l2,adv_e_ran_frac,adv_e_nul_frac
9.058601790457033e-06,9.058216164703481e-06,0.9999574298812917,0.06525224045067893,0.06525083715291706,0.9999784942593208,50.411608375771046,50.41179500356784,0.9985612221012126,0.9985609078993563,6.559213366316585e-05,1.7099883233806774e-06,8.734333823667839e-05,9.5367431640625e-06,1.8018404546182865e-07,155.35678100585938,155.3567657470703,0.0,0.0,0.296739399433136,0.24568648636341095,0.7702553327081196,0.6377357595831475,0.29672080278396606,0.24569597840309143,0.7702236250593064,0.637774114159104
5.7510742408339866e-06,5.75108606426511e-06,1.000002055864805,0.035752101376806684,0.0357521395589183,1.0000010679683193,47.85597547255503,47.8559665440568,0.9966090987828174,0.9966087987773107,4.9735567835354445e-05,2.0926841072956725e-06,0.00018035869288723916,2.193450927734375e-05,3.943034414533031e-07,319.69256591796875,319.69256591796875,0.0,0.0,0.24858802556991577,0.18008215725421906,0.8098335804385486,0.5866597067494919,0.2486017942428589,0.18006369471549988,0.8098775701843758,0.5865989342464258
4.829989279642177e-07,4.828946202906081e-07,0.9997840416042967,0.16936486798524966,0.16934652673761363,0.9998917057129131,52.79652114370179,52.79746067395018,0.9991484314215276,0.9991487346367309,0.00013552682350986484,9.603577235638482e-07,3.3528592666698387e-06,3.2782554626464844e-07,8.782537364027121e-09,6.666319847106934,6.666319370269775,0.0,0.0,0.06149795651435852,0.06427639722824097,0.6913175620669485,0.722550874026189,0.06149100139737129,0.06426975876092911,0.6913142428274488,0.7225544974847959
1.9795435946434736e-05,1.9796490960288793e-05,1.000053295813081,0.11434915205486809,0.11435220388748041,1.0000266887209697,43.655602575708656,43.65537072207338,0.9946208528391426,0.9946211966751276,0.0001033223736079487,1.680982472437346e-06,6.76748386467807e-05,1.1444091796875e-05,1.5395261243611458e-07,114.09696197509766,114.09696197509766,0.0,0.0,0.44513818621635437,0.3552188277244568,0.7816319954015857,0.6237397952273869,0.4451572299003601,0.3552192747592926,0.7816445737051109,0.6237239337957371
5.687627890438307e-06,5.68791165278526e-06,1.0000498911589188,0.057062124351106316,0.057063539350383885,1.0000247975218879,45.55595900271393,45.55574337525588,0.9960196819541852,0.9960200743440882,7.030622360526132e-05,2.155411636459185e-06,9.412114013684914e-05,1.33514404296875e-05,2.0369654407659255e-07,167.48199462890625,167.48199462890625,0.0,0.0,0.2407931536436081,0.18762926757335663,0.7888030695036463,0.6146459729068524,0.2407933622598648,0.18764139711856842,0.7887841930066279,0.6146704652143815
2.005996066145599e-06,2.0055383629369317e-06,0.9997718324495288,0.031903245479341515,0.03189961099124023,0.9998860777940716,48.158151409105564,48.15914145673192,0.9962035345473746,0.996203814349614,4.011418244031979e-05,2.4139143981886772e-06,0.000131369597511366,1.71661376953125e-05,2.72353645414114e-07,233.33865356445312,233.3386688232422,0.0,0.0,0.16910232603549957,0.06535010784864426,0.9327701170710946,0.3604718467077263,0.16908390820026398,0.0653403177857399,0.9327747878697006,0.36045890889714605
9.22027197702846e-07,9.221357686328702e-07,1.0001177524158664,0.0241814539090879,0.024182881650926843,1.000059042845162,50.097045388614056,50.096534026476114,0.9955944182274643,0.9955956410757799,4.440610023727519e-05,2.8168798516152305e-06,0.0001337273424724117,1.71661376953125e-05,2.884145828829787e-07,214.55682373046875,214.5568084716797,0.0,0.0,0.09163474291563034,0.08191194385290146,0.7455527371117319,0.6664467209549665,0.09162919223308563,0.08192902058362961,0.745463561713618,0.6665463047695377
1.316465568379499e-05,1.3166870303393807e-05,1.000168224650307,0.06475092969523867,0.06475638534114493,1.0000842558698684,39.02618936674515,39.02545883781642,0.9847803306644465,0.9847837490953447,6.575327244961638e-05,3.857372194062088e-06,0.00016894626605790108,1.811981201171875e-05,4.140616738368408e-07,282.1012268066406,282.1011962890625,0.0,0.0,0.3805457651615143,0.26622289419174194,0.8193929547461916,0.573232404255685,0.3805954158306122,0.2662200927734375,0.8194308209468497,0.573178078610841
5.6803205552569125e-06,5.679909918399062e-06,0.9999277088583548,0.02019689549111946,0.020196163489211442,0.9999637567116025,50.73651167778971,50.73682495018922,0.9941238052972828,0.9941231861201962,3.6185093040032906e-05,3.0537208479855173e-06,0.0004530764417722821,3.62396240234375e-05,9.494169148638321e-07,721.986083984375,721.9861450195312,0.0,0.0,0.24703019857406616,0.1790040135383606,0.8097549738784559,0.5867678977857207,0.24699652194976807,0.17903177440166473,0.8096739285152892,0.5868801672370877
1.519835905128275e-06,1.5195525975286728e-06,0.9998135932973775,0.19178262449373423,0.19176474981511626,0.9999067971946617,50.46741355180218,50.468222856366374,0.9986776307213213,0.9986774593279331,0.00014403221842434157,1.080475606578201e-06,5.584327027463587e-06,5.960464477539062e-07,1.3716227265092584e-08,10.682961463928223,10.682962417602539,0.0,0.0,0.11178421974182129,0.1113789901137352,0.7083896689364587,0.7058216814088261,0.11177920550107956,0.11136318743228912,0.7084239202034069,0.7057873193271811
6.210055289557204e-06,6.209419552760664e-06,0.9998976278363241,0.017416866800458543,0.01741597342351583,0.999948706219497,48.87381951242797,48.87426508594713,0.9897214312790158,0.9897196095289642,4.0874847601051393e-05,4.0931687928231995e-06,0.0006731415633112192,4.38690185546875e-05,1.4655390714324312e-06,1013.0010986328125,1013.0010986328125,0.0,0.0,0.2698068916797638,0.17014631628990173,0.8458537807720639,0.5334144877554552,0.2697793245315552,0.17015939950942993,0.84581074165548,0.533482868446755
9.633235094952397e-06,9.63538059295388e-06,1.0002227183267443,0.024110999908318578,0.02411368222729377,1.0001112487655175,44.473917392963266,44.47295024716527,0.9835951814737829,0.9835968095447805,3.823714001054779e-05,4.770939678758616e-06,0.000670205510687083,4.57763671875e-05,1.4740835467819124e-06,989.4802856445312,989.4802856445312,0.0,0.0,0.3266538381576538,0.2261153906583786,0.822226948231816,0.5691595992193832,0.3266994059085846,0.22612732648849487,0.822250173417758,0.5691263285360421
1.3023653082200326e-05,1.3027782188146375e-05,1.0003170466780702,0.050755413123080954,0.05076346205050014,1.0001585826402333,46.54236040069323,46.540984005881946,0.9947121402359368,0.9947136321941776,9.354022192741368e-05,3.5783798147186737e-06,0.00011804264795500785,9.5367431640625e-06,2.8054375889041694e-07,207.68075561523438,207.6807861328125,0.0,0.0,0.31542542576789856,0.33747050166130066,0.6828422034986892,0.730566029701664,0.31547635793685913,0.33752310276031494,0.6828441757180871,0.7305640473265097
4.423859354574233e-05,4.423394057084806e-05,0.9998948209126617,0.18773979824346407,0.1877299271362029,0.9999474213387171,39.771109116038616,39.77156664132257,0.9955778326924306,0.995578129900716,0.00015157838693265145,3.1422557101555708e-06,4.079932114109397e-05,2.384185791015625e-06,9.415089152753353e-08,65.49132537841797,65.4913330078125,0.0,0.0,0.5455493927001953,0.6535908579826355,0.6408015592408537,0.7677069143600025,0.5455520153045654,0.6535303592681885,0.6408383341700151,0.7676762160417459
1.9349277863511816e-05,1.934986539708916e-05,1.0000303646255684,0.027980189941043447,0.02798061647239289,1.000015244047676,44.97244466767407,44.972312389523154,0.985340126129095,0.9853446570151726,5.215767558818275e-05,3.860167406776134e-06,0.0006285270792432129,8.7738037109375e-05,1.4292420473793754e-06,1001.6604614257812,1001.6605224609375,0.0,0.0,0.4298061430454254,0.3637104034423828,0.7633616195106873,0.6459716016095174,0.42976441979408264,0.3637729585170746,0.7632758810872312,0.6460728544277038
4.126884505240014e-06,4.125961822865065e-06,0.9997764215660077,0.01889997791904001,0.01889786808015164,0.9998883681823647,49.73077293211752,49.73174402948134,0.9910187032018672,0.9910193436114066,4.624839956194584e-05,3.296624866382068e-06,0.0004003894573543221,4.1961669921875e-05,8.923960876927595e-07,681.3353271484375,681.3352661132812,0.0,0.0,0.2004275918006897,0.1656612604856491,0.7707906524054536,0.6370886857485252,0.20040647685527802,0.16564121842384338,0.7707954953022861,0.6370827280681173
