gt_norm,clean_mse,adv_mse,mse_ratio,clean_rel_l2,adv_rel_l2,rel_l2_ratio,clean_psnr,adv_psnr,clean_ssim,adv_ssim,clean_mae,adv_mae,clean_nrmse,adv_nrmse,clean_max_err,adv_max_err,clean_init_rel_l2,adv_init_rel_l2,init_rel_l2_ratio,clean_init_psnr,adv_init_psnr,clean_init_ssim,adv_init_ssim,clean_init_mae,adv_init_mae,pred_shift_rel_l2,init_shift_rel_l2,delta_l2,delta_linf,delta_mean_abs,delta_rel_l2,clean_sino_l2,adv_sino_l2,success_rel_l2,success_mse,clean_e_ran_l2,clean_e_nul_l2,clean_e_ran_frac,clean_e_nul_frac,adv_e_ran_l2,adv_e_nul_l2,adv_e_ran_frac,adv_e_nul_frac,clean_consistency_rel,adv_consistency_rel,clean_rel_l2_ran,clean_psnr_ran,clean_ssim_ran,clean_mae_ran,clean_nrmse_ran,clean_max_err_ran,clean_rel_l2_nul,clean_psnr_nul,clean_ssim_nul,clean_mae_nul,clean_nrmse_nul,clean_max_err_nul,adv_rel_l2_ran,adv_psnr_ran,adv_ssim_ran,adv_mae_ran,adv_nrmse_ran,adv_max_err_ran,adv_rel_l2_nul,adv_psnr_nul,adv_ssim_nul,adv_mae_nul,adv_nrmse_nul,adv_max_err_nul,clean_init_e_ran_l2,clean_init_e_nul_l2,clean_init_e_ran_frac,clean_init_e_nul_frac,adv_init_e_ran_l2,adv_init_e_nul_l2,adv_init_e_ran_frac,adv_init_e_nul_frac
8.085221290588379,5.345765430320171e-07,5.346173566067591e-07,1.0000763474852647,0.011575053445994854,0.011575494892895222,1.000038137785059,53.092226018095324,53.091894919637184,0.9984853755231187,0.998485277265959,0.00028837184072472155,0.0002883537672460079,0.002215076411516263,0.002215160704566771,0.029430240392684937,0.029437243938446045,0.1533147096633911,0.1533147096633911,1.0,30.651010250361487,30.65101058729404,0.6483953850146815,0.6483953337821728,0.005080454051494598,0.005080453585833311,3.555731018423103e-05,7.019982035672001e-07,2.0887548544124e-06,9.5367431640625e-07,3.975973772440966e-09,4.954517738420254e-09,421.5859069824219,421.5859069824219,0.0,0.0,0.06849729269742966,0.06377007812261581,0.7319113571775279,0.6813998420669282,0.0684933066368103,0.06377959996461868,0.731840857171789,0.6814755981293947,0.0024913149290189283,0.002490872120730437,0.008471913635730743,55.80305571286904,0.9984326086892328,0.0002841206733137369,0.0016212396298809668,0.012947022914886475,0.007887239567935467,56.42418592529171,0.9987607915229741,0.00023559383407700807,0.0015093525968117043,0.01768958568572998,0.008471420966088772,55.80356177161053,0.9984330010731289,0.0002840986126102507,0.00162114510880341,0.012949526309967041,0.007888417690992355,56.42288915426204,0.9987603932522984,0.00023563082504551858,0.0015095779660973718,0.01769489049911499,3.776567837121547e-06,1.2395833730697632,3.046642863375196e-06,1.0,6.63038736092858e-06,1.2395833730697632,5.348883749956063e-06,1.0
12.357952117919922,1.462287627873593e-06,1.4621391528635286e-06,0.9998984638813635,0.012525060214102268,0.01252442505210638,0.9999492887071973,51.64554127549046,51.64598226363933,0.9983471487156969,0.9983470830801064,0.0004808835801668465,0.0004808522935491055,0.0026165133024507537,0.002616380302769824,0.050677813589572906,0.05067239701747894,0.13340595364570618,0.13340595364570618,1.0,31.09763373296976,31.09763373296976,0.7385588710860707,0.7385588249293665,0.006510400678962469,0.006510401144623756,2.6839235943043604e-05,6.713640345878957e-07,3.2281700441672e-06,9.5367431640625e-07,6.240231886778247e-09,4.6671603527425375e-09,691.6775512695312,691.6775512695312,0.0,0.0,0.11923798173666,0.09869357943534851,0.770350333601768,0.6376209219163437,0.11922787874937057,0.09869344532489777,0.7703241442214768,0.6376524065314073,0.0028734656693929976,0.002872745599228975,0.009648684412240982,53.91177615273111,0.9980455103243464,0.00046415539691224694,0.002015631701370287,0.018568385392427444,0.007986240088939667,55.55429036531368,0.9984797239423727,0.0003798108664341271,0.0016683435894492336,0.03210942819714546,0.00964786671102047,53.912511886163074,0.9980457926695143,0.0004641192499548197,0.0020154610436357604,0.018563374876976013,0.007986229844391346,55.55430199224798,0.9984799546240415,0.0003798135439865291,0.0016683413224092179,0.03210902214050293,6.489788574981503e-06,1.6486245393753052,3.936486986119e-06,1.0000000723083367,1.1048528904211707e-05,1.6486245393753052,6.701665199827094e-06,1.0000000723083367
22.761991500854492,3.4597760532051325e-06,3.459132585703628e-06,0.9998140146958621,0.010459807701408863,0.010458835400640965,0.99990704410677,52.41379119519074,52.41459870875757,0.9984527781537642,0.9984526950620701,0.0007140500238165259,0.0007140696980059147,0.0023950271665052016,0.0023948045675903865,0.08660024404525757,0.08658605813980103,0.1547175794839859,0.1547175794839859,1.0,29.013472569011338,29.01347223505892,0.5777676518522551,0.5777677408306251,0.014545010402798653,0.014545011334121227,2.8958736947970465e-05,8.998200087262376e-07,6.322655735857552e-06,1.9073486328125e-06,1.423604167882786e-08,4.579852068388049e-09,1380.537109375,1380.537109375,0.0,0.0,0.18298645317554474,0.15231850743293762,0.7685727312811587,0.6397623936133426,0.18297553062438965,0.1522970199584961,0.7685983380652682,0.639731640798916,0.0022390581300024935,0.002238863669949051,0.008039123378694057,54.700090765709284,0.9982559113885664,0.0006996012525632977,0.0018407527207517365,0.047839999198913574,0.006691791582852602,56.29341738806591,0.9984719412673132,0.0006029722862876952,0.0015322483128123495,0.038760244846343994,0.00803864374756813,54.70061021229783,0.998256077587973,0.0006995678413659334,0.0018406426954295316,0.04783010482788086,0.006690848618745804,56.29464172562775,0.9984709608141564,0.000602973101194948,0.0015320323094209364,0.038755953311920166,1.4021895367477555e-05,3.5216801166534424,3.981592564631391e-06,1.0,2.4366107027162798e-05,3.5216801166534424,6.918887070957839e-06,1.0
18.028806686401367,1.4736550610905397e-06,1.4735899185325252e-06,0.9999557952469784,0.008618682622909546,0.00861849170178175,0.9999778479918394,51.64848798972425,51.64868030781221,0.9974223342522662,0.9974232123475407,0.0005812242161482573,0.0005811661831103265,0.0026156256369197503,0.002615567694078558,0.017357468605041504,0.017360061407089233,0.19988101720809937,0.19988101720809937,1.0,24.341875207863723,24.341875207863723,0.4209173933339048,0.42091719481486317,0.015091666020452976,0.0150916688144207,3.503217521938495e-05,8.399067610298516e-07,5.213719305174891e-06,1.9073486328125e-06,1.0019479468326153e-08,4.341033304186241e-09,1201.0318603515625,1201.0318603515625,0.0,0.0,0.11548803001642227,0.10395614802837372,0.7432400124975043,0.6690249088915446,0.11548559367656708,0.10395371913909912,0.7432407977750267,0.6690240980274086,0.002125484337721141,0.0021246861232517527,0.006405749823898077,54.22590651711523,0.9981228646188294,0.0005109331104904413,0.0019440376310730278,0.015453338623046875,0.005766113288700581,55.13964321704998,0.9979375075129404,0.00044089960283599794,0.0017499185780172192,0.014814794063568115,0.006405614782124758,54.22608999132662,0.9981235319633889,0.0005109010962769389,0.0019439966195815347,0.015450805425643921,0.005765978712588549,55.13984532714983,0.9979385139800566,0.0004408455570228398,0.0017498778173605364,0.01483270525932312,1.141771372203948e-05,3.603616237640381,3.1684044496135656e-06,1.0,1.9420233002165332e-05,3.603616237640381,5.389095764226422e-06,1.0
28.61600112915039,3.4047850476781605e-06,3.4041659091599286e-06,0.9998181563565506,0.00825364701449871,0.00825289636850357,0.999909052810979,50.19778747515314,50.19857728387536,0.9964109430811925,0.9964122924632329,0.0009442021255381405,0.0009442098089493811,0.00309108280307842,0.0030908015863314224,0.027253687381744385,0.027277588844299316,0.17030689120292664,0.17030689120292664,1.0,23.906060079781493,23.906060079781493,0.40603321055801106,0.40603288057622444,0.021289056167006493,0.02128906361758709,3.237623241147958e-05,1.048108856593899e-06,1.0496887625777163e-05,3.814697265625e-06,1.7663456475247585e-08,4.884413129205547e-09,2149.05810546875,2149.05810546875,0.0,0.0,0.18206030130386353,0.15045945346355438,0.7708332242390142,0.6370369860971462,0.18204405903816223,0.1504453867673874,0.7708345834313695,0.6370353839105489,0.0019169784368112074,0.0019171100127951676,0.0063621848821640015,52.458579248647986,0.996629055978886,0.0008673500851728022,0.00238270912846816,0.01589137315750122,0.005257878452539444,54.11449354962695,0.9967837163723466,0.0007145541021600366,0.0019691342676683436,0.01451253890991211,0.006361617706716061,52.45935345345651,0.9966304359681758,0.0008672922849655151,0.002382496753268798,0.01590484380722046,0.005257386714220047,54.11530620516373,0.996784311081254,0.0007145225536078215,0.0019689499751399716,0.014531910419464111,2.1603116692858748e-05,4.873502254486084,4.432770431771724e-06,1.0,3.7794601666973904e-05,4.873502254486084,7.755121408261128e-06,1.0
23.70513343811035,3.0236051316023804e-06,3.023198132723337e-06,0.9998653928468405,0.009389231912791729,0.00938860047608614,0.999932748843414,52.31733142645513,52.31791573065477,0.9979440057047014,0.9979433783261694,0.0007566299755126238,0.0007566488347947598,0.002421773048508364,0.0024216101012292704,0.038363635540008545,0.03834348917007446,0.12322606891393661,0.12322606891393661,1.0,29.955880756205996,29.955880756205996,0.562354532371058,0.5623545691317653,0.013116301968693733,0.013116301968693733,2.978027259814553e-05,8.106846394184686e-07,5.915059773542453e-06,1.9073486328125e-06,1.2870954968491333e-08,3.975028161261394e-09,1488.0548095703125,1488.0548095703125,0.0,0.0,0.1711716502904892,0.14226388931274414,0.7690584771482117,0.6391785665579919,0.17116312682628632,0.14225070178508759,0.7690718769770275,0.639162279000593,0.0019057134985298783,0.0019060414721960672,0.007220868486911058,54.598144154489006,0.9981058614087727,0.0007218045648187399,0.0018624849679919012,0.022128582000732422,0.0060013956390321255,56.20488728412243,0.9983666244693035,0.0006122482009232044,0.0015479453220401172,0.019641876220703125,0.007220508996397257,54.598577085239405,0.9981054593096879,0.0007218344835564494,0.0018623922258589245,0.022128760814666748,0.006000838708132505,56.20569393671941,0.9983668129343527,0.0006122086779214442,0.001547801669015961,0.019630491733551025,1.3375953130889684e-05,2.921090602874756,4.57909597513595e-06,1.0000000816197205,2.2944215743336827e-05,2.921090602874756,7.85467509753276e-06,1.0000000816197205
28.30238914489746,6.7626815507537685e-06,6.76238460073364e-06,0.9999560899004485,0.011761057190597057,0.011760798282921314,0.9999779860201725,50.704978947675215,50.70516935895325,0.9959774462847067,0.9959786389342433,0.0013043541694059968,0.0013043107464909554,0.002915755265104056,0.002915691306672204,0.04052037000656128,0.040502309799194336,0.31141209602355957,0.31141209602355957,1.0,22.247195338076782,22.247195338076782,0.28463630054919264,0.28463618305666527,0.040348120033741,0.040348123759031296,4.2700568883446977e-05,7.361020379903493e-07,6.9629595600417815e-06,1.9073486328125e-06,1.3270532228659704e-08,4.333810476979008e-09,1606.659912109375,1606.659912109375,0.0,0.0,0.25198253989219666,0.2174961268901825,0.7570089165405005,0.6534044280978017,0.251965194940567,0.2175050675868988,0.7569734809673017,0.6534456799802021,0.00376829857148664,0.0037685318467097105,0.008903225883841515,53.12295798587773,0.9964285383531081,0.0011751488782465458,0.0022072529951885048,0.02699446678161621,0.007684726733714342,54.401337687121874,0.9964242052107657,0.0010001987684518099,0.0019051672709410577,0.022297680377960205,0.008902612142264843,53.12355630305043,0.9964277749779531,0.001175134675577283,0.0022071008002261796,0.026994824409484863,0.007685042452067137,54.40098029921665,0.9964248619110666,0.0010001821210607886,0.0019052457179156354,0.022287487983703613,1.5177478417172097e-05,8.813706398010254,1.7220313148391806e-06,1.0,2.4530949303880334e-05,8.813706398010254,2.7832728021684883e-06,1.0
21.247058868408203,3.2908305911405478e-06,3.289684173068963e-06,0.9996516326076854,0.010928583331406116,0.010926681570708752,0.9998259828708174,49.614906212793734,49.616419116678564,0.9972284300329384,0.9972279252115516,0.0007108625723049045,0.0007108350400812924,0.0033056333602186857,0.0033050576261518957,0.07725590467453003,0.07722169160842896,0.2031308263540268,0.2031308263540268,1.0,24.23066674779728,24.23066630309947,0.46672351171008897,0.46672390527028973,0.017080053687095642,0.017080053687095642,3.134570943075232e-05,8.295599513985508e-07,6.2417698245553765e-06,1.9073486328125e-06,1.098803892318756e-08,4.402130616997071e-09,1417.8974609375,1417.8974609375,0.0,0.0,0.15741610527038574,0.17069602012634277,0.6779325399104583,0.7351241874399775,0.1574101448059082,0.17064650356769562,0.6780248733262417,0.7350388636495945,0.002793878794623025,0.0027942525906949865,0.0074088419787585735,52.99117764161247,0.9968667000139698,0.0006769282044842839,0.002240996276092658,0.0355682447552681,0.008033866062760353,52.287691058234735,0.9965554033595047,0.000615249911788851,0.002430051306229524,0.04373137652873993,0.007408562116324902,52.99150573585639,0.9968649726646365,0.0006769563187845051,0.0022409116342751753,0.03556006774306297,0.008031535893678665,52.29021212131234,0.9965563196067174,0.0006151185953058302,0.0024293461698853785,0.04370870068669319,1.3020317965128925e-05,4.315932750701904,3.0168027903148902e-06,1.0,2.1428504624054767e-05,4.315932750701904,4.964976486385204e-06,1.0
9.056325912475586,7.23695961823978e-07,7.237307499963208e-07,1.0000480701484848,0.012023639865219593,0.012023928575217724,1.0000240118634096,52.961931938647474,52.96172317766271,0.9984733856948144,0.9984730334050935,0.0003022289020009339,0.00030221868655644357,0.0022485544259317346,0.002248608428273409,0.05076342821121216,0.05076700448989868,0.21704554557800293,0.21704554557800293,1.0,27.831634823993312,27.83163509198333,0.4735468692393796,0.4735469518814993,0.00837412104010582,0.008374121971428394,3.1780855351826176e-05,7.840652642698842e-07,2.3661943941988284e-06,9.5367431640625e-07,5.229396027317534e-09,4.819673594940402e-09,490.9449462890625,490.9449462890625,0.0,0.0,0.07370065152645111,0.08015764504671097,0.6768357839144237,0.7361340964869648,0.07370575517416,0.08015650510787964,0.6768663977251268,0.7361059490999855,0.0023752595023025947,0.002375719395783689,0.008138028904795647,56.352267284023974,0.9985985296311093,0.00026763632195070386,0.0015219018395638295,0.020663708448410034,0.008851011283695698,55.62279387801218,0.9985605911665852,0.00024285182007588446,0.0016552374674787128,0.030099719762802124,0.008138592354953289,56.35166603503993,0.9985987652024092,0.00026762980269268155,0.0015220072287491487,0.020668476819992065,0.008850885555148125,55.62291694666934,0.9985604973865818,0.00024286319967359304,0.0016552140818492699,0.030098527669906616,4.950864422426093e-06,1.9656351804733276,2.5187097135867902e-06,1.0,8.451666872133501e-06,1.965635061264038,4.299712864366992e-06,0.9999999393532988
37.10553741455078,4.879339940089267e-06,4.879211701336317e-06,0.9999737180121646,0.007619943935424089,0.007619844283908606,0.999986922277076,51.520997494437324,51.521111637160175,0.9971274181828003,0.9971261158749738,0.0011210833908990026,0.0011210977099835873,0.0026543006695955032,0.002654265977429877,0.03882265090942383,0.03881409764289856,0.14612986147403717,0.14612986147403717,1.0,25.865254102526208,25.865254102526208,0.4291854139432298,0.4291852722083215,0.024747932329773903,0.024747934192419052,2.8477352316258475e-05,8.635078074803459e-07,1.2181569218228105e-05,3.814697265625e-06,2.0968062841575374e-08,4.442118711267207e-09,2742.2880859375,2742.2880859375,0.0,0.0,0.21779757738113403,0.1802978366613388,0.7703046962708164,0.6376759189780054,0.21779462695121765,0.18029563128948212,0.7703043292242214,0.6376764535775689,0.0018162666063494103,0.001816497175128354,0.005869679152965546,53.787746243815434,0.9973784162492978,0.001009628758765757,0.0020446204109919536,0.019690971821546555,0.0048590549267828465,55.428997610672724,0.9973212320320518,0.000857626786455512,0.0016925836187282473,0.022279320284724236,0.005869599059224129,53.78786493636828,0.9973775019443217,0.0010096061741933227,0.002044592433439029,0.01968192867934704,0.004858995322138071,55.429103123331174,0.9973205751635573,0.0008576477994211018,0.0016925630552268478,0.022272517904639244,2.4364582714042626e-05,5.422226905822754,4.493464242132378e-06,1.0,4.000042827101424e-05,5.422226905822754,7.377121792534923e-06,1.0
