shape,noise,init,model,attack,norm,eps,n,clean_rel_l2_mean,clean_rel_l2_median,clean_mse_mean,clean_mse_median,adv_rel_l2_mean,adv_rel_l2_median,adv_mse_mean,adv_mse_median
ellipses,0.01,pinv,nsn,adam,l2,0.02,32,0.23229862423613667,0.2268487513065338,0.001924151118601003,0.0011581165599636734,2.1030589751899242,2.0423113107681274,0.158255120360991,0.09290420636534691
ellipses,0.01,pinv,nsn,adam,l2,0.05,32,0.23229862423613667,0.2268487513065338,0.001924151118601003,0.0011581165599636734,5.044981725513935,4.8889148235321045,0.8892062520608306,0.5400799810886383
ellipses,0.01,pinv,nsn,adam,l2,0.1,32,0.23229862423613667,0.2268487513065338,0.001924151118601003,0.0011581165599636734,9.78027068078518,9.498366355895996,3.2633118350058794,2.0351295471191406
ellipses,0.01,pinv,nsn,adam,l2,0.2,32,0.23229862423613667,0.2268487513065338,0.001924151118601003,0.0011581165599636734,18.466012984514236,18.122231483459473,9.446459891274571,7.873485565185547
ellipses,0.01,pinv,resnet,adam,l2,0.005,32,0.01546810319996439,0.014353456906974316,7.191598022870949e-06,4.195616156721371e-06,0.267968762665987,0.21385610848665237,0.004514021350644271,0.0013056510942988098
ellipses,0.01,pinv,resnet,adam,l2,0.01,32,0.01546810319996439,0.014353456906974316,7.191598022870949e-06,4.195616156721371e-06,0.5965972277335823,0.5716743469238281,0.019881006800687828,0.005163062829524279
ellipses,0.01,pinv,resnet,adam,l2,0.02,32,0.01546810319996439,0.014353456906974316,7.191598022870949e-06,4.195616156721371e-06,1.2369941994547844,1.2515661120414734,0.06499472788709681,0.023501623421907425
ellipses,0.01,pinv,resnet,adam,l2,0.05,32,0.01546810319996439,0.014353456906974316,7.191598022870949e-06,4.195616156721371e-06,2.5477159321308136,2.4166818857192993,0.2440447558183223,0.11237626895308495
ellipses,0.01,pinv,resnet,adam,l2,0.1,32,0.01546810319996439,0.014353456906974316,7.191598022870949e-06,4.195616156721371e-06,4.136615730822086,4.036794304847717,0.5164939295500517,0.33748267590999603
ellipses,0.01,pinv,resnet,adam,l2,0.2,32,0.01546810319996439,0.014353456906974316,7.191598022870949e-06,4.195616156721371e-06,6.476162910461426,6.442113876342773,0.9931868044659495,0.9092663824558258
ellipses,0.01,tv,nsn,adam,l2,0.005,32,0.37961317179724574,0.4016140550374985,0.004425591992458067,0.003380082780495286,0.39218595111742616,0.4174814224243164,0.004804885463045139,0.003672905615530908
ellipses,0.01,tv,nsn,adam,l2,0.01,32,0.37961317179724574,0.4016140550374985,0.004425591992458067,0.003380082780495286,0.4335437095724046,0.44624748826026917,0.0067253019992676855,0.004221893381327391
ellipses,0.01,tv,nsn,adam,l2,0.02,32,0.37961317179724574,0.4016140550374985,0.004425591992458067,0.003380082780495286,0.6787816439755261,0.6283711791038513,0.019769411898323597,0.008703789208084345
ellipses,0.01,tv,nsn,adam,l2,0.05,32,0.37961317179724574,0.4016140550374985,0.004425591992458067,0.003380082780495286,1.6647863518446684,1.733904242515564,0.10939260531813488,0.053290072828531265
ellipses,0.01,tv,nsn,adam,l2,0.1,32,0.37961317179724574,0.4016140550374985,0.004425591992458067,0.003380082780495286,3.255860771983862,3.2305288314819336,0.3416467572096735,0.2306995987892151
ellipses,0.01,tv,nsn,adam,l2,0.2,32,0.37961317179724574,0.4016140550374985,0.004425591992458067,0.003380082780495286,5.828435517847538,5.784430742263794,0.8239524224773049,0.7603493332862854
ellipses,0.01,tv,resnet,adam,l2,0.005,32,0.020059730566572398,0.01590473484247923,1.0495388490738833e-05,6.547749535457115e-06,0.09582453174516559,0.08108335733413696,0.0003837158798347673,0.00020922213298035786
ellipses,0.01,tv,resnet,adam,l2,0.01,32,0.020059730566572398,0.01590473484247923,1.0495388490738833e-05,6.547749535457115e-06,0.19658566173166037,0.1843700110912323,0.0018362452991311784,0.0007024038059171289
