clean_mse,adv_mse,mse_ratio,clean_rel_l2,adv_rel_l2,rel_l2_ratio,clean_psnr,adv_psnr,clean_ssim,adv_ssim,pred_shift_rel_l2,init_shift_rel_l2,delta_l2,delta_linf,delta_mean_abs,clean_sino_l2,adv_sino_l2,success_rel_l2,success_mse,clean_e_ran_l2,clean_e_nul_l2,clean_e_ran_frac,clean_e_nul_frac,adv_e_ran_l2,adv_e_nul_l2,adv_e_ran_frac,adv_e_nul_frac
3.1356711360785994e-07,3.134453550046601e-07,0.9996116984278137,0.012140320144916806,0.012137962806590238,0.999805825686767,65.01891545903158,65.0206021586751,0.9995778830653396,0.9995782618695964,7.007494340571078e-05,1.408993507826929e-05,8.734333823667839e-05,9.5367431640625e-06,1.8018404546182865e-07,155.35678100585938,155.3567657470703,0.0,0.0,3.971613114117645e-05,0.07167623192071915,0.0005541045608634343,0.9999998960522949,0.0001091349549824372,0.07166224718093872,0.0015229056554920935,0.9999989603210695
2.263208358499469e-07,2.2638653263129527e-07,1.0002902816309496,0.007092337213273731,0.007093365960849375,1.0001450505728517,61.90621982821439,61.904959334049494,0.9993416350780396,0.9993412491455734,5.5157667278662874e-05,1.7374252285089846e-05,0.00018035869288723916,2.193450927734375e-05,3.943034414533031e-07,319.69256591796875,319.69256591796875,0.0,0.0,8.274619904113933e-05,0.060893621295690536,0.0013588634784054202,0.9999990211686354,0.00022094781161285937,0.06090211495757103,0.003627893147333004,0.9999934550146027
8.155062403147895e-09,8.156061603870057e-09,1.0001225252086088,0.022007151313407046,0.022008500664668744,1.000061314217478,70.52171043657052,70.5211778760092,0.999904413936568,0.9999044022511103,0.0001623243828527595,6.077524352336442e-06,3.3528592666698387e-06,3.2782554626464844e-07,8.782537364027121e-09,6.666319847106934,6.666319370269775,0.0,0.0,6.58296130495728e-06,0.011559086851775646,0.0005695052151251821,0.9999998388588239,7.4020226747961715e-06,0.01155979372560978,0.0006403245996511669,0.9999996777374073
9.005132142192451e-07,9.002851015793567e-07,0.9997466859605317,0.02438907786447631,0.02438599311994366,0.9998735194274343,57.07635277871257,57.077452772759735,0.9990919277059939,0.9990918072632838,7.027518652072424e-05,1.1954140908202366e-05,6.76748386467807e-05,1.1444091796875e-05,1.5395261243611458e-07,114.09696197509766,114.09696197509766,0.0,0.0,3.1213548936648294e-05,0.12146607041358948,0.00025697341442732055,1.000000061338784,8.196929411496967e-05,0.12145067006349564,0.0006749182524722504,0.9999997546138275
4.4164866608298325e-07,4.414565921706526e-07,0.9995650979453098,0.015900867757774464,0.015897409644382528,0.9997825204608569,56.654502218499125,56.65639138495529,0.9980863183256248,0.9980871505761012,4.409827929105896e-05,1.3802407108161565e-05,9.412114013684914e-05,1.33514404296875e-05,2.0369654407659255e-07,167.48199462890625,167.48199462890625,0.0,0.0,3.78977092623245e-05,0.08506449311971664,0.0004455172530200358,0.9999997372377699,0.00010374146222602576,0.0850459560751915,0.0012198274239744547,0.9999992991482988
6.187243428712463e-08,6.189364398778707e-08,1.000342797255463,0.005602971829139431,0.0056039322413090524,1.0001714112079998,63.2664791638722,63.264990170846296,0.9996470501388602,0.9996470457297825,3.6874308719986735e-05,1.9663562876397616e-05,0.000131369597511366,1.71661376953125e-05,2.72353645414114e-07,233.33865356445312,233.3386688232422,0.0,0.0,5.8115423598792404e-05,0.03183888643980026,0.001825294214102427,0.9999984789449119,0.0001617110101506114,0.03184398263692856,0.005078162837072382,0.9999871317396344
1.0783256243485084e-07,1.0783856652096802e-07,1.0000556797128957,0.00826961998730525,0.008269850126390171,1.0000278294631766,59.41698373908495,59.416741645725786,0.9981089478232982,0.9981099722030438,4.411657109583922e-05,2.123426031885675e-05,0.0001337273424724117,1.71661376953125e-05,2.884145828829787e-07,214.55682373046875,214.5568084716797,0.0,0.0,6.016922270646319e-05,0.04203242436051369,0.001431493764549536,0.9999988478247729,0.00015718495706096292,0.04203334450721741,0.0037395035880396906,0.9999929098882244
9.139791927736951e-07,9.140218821812596e-07,1.000046707198481,0.01706119670727058,0.017061591441742092,1.0000231363882783,50.6109213257027,50.61071902383339,0.9916532596804,0.991653986084977,4.4721743205366635e-05,2.3289494979095516e-05,0.00016894626605790108,1.811981201171875e-05,4.140616738368408e-07,282.1012268066406,282.1011962890625,0.0,0.0,7.601612742291763e-05,0.12237086147069931,0.0006211944850925249,0.9999996955738385,0.00020681926980614662,0.122373566031456,0.0016900626458015368,0.999998660555879
4.977421781404701e-07,4.974996841156099e-07,0.9995128119827695,0.005978611772389708,0.005977156154040271,0.999756529039708,61.31019533826263,61.31231168450909,0.9983535234733026,0.9983538387483949,4.8411890074293655e-05,2.8048149178772135e-05,0.0004530764417722821,3.62396240234375e-05,9.494169148638321e-07,721.986083984375,721.9861450195312,0.0,0.0,0.00022069725673645735,0.09030480682849884,0.0024439075723676385,0.9999970298357945,0.0006118238670751452,0.09028100967407227,0.006776727269883923,0.9999769756216397
9.78596830236711e-08,9.785551213781218e-08,0.9999573789150952,0.04866455957945018,0.048663531830704924,0.999978880960721,62.37934250691174,62.379527927223705,0.9995574611340502,0.9995575598677586,0.00012713386105028015,6.006397381858264e-06,5.584327027463587e-06,5.960464477539062e-07,1.3716227265092584e-08,10.682961463928223,10.682962417602539,0.0,0.0,6.937091256986605e-06,0.04004163667559624,0.0001732469457527065,1.0,8.903973139240406e-06,0.04004078358411789,0.0002223725583124573,0.9999998139252396
