gt_norm,clean_mse,adv_mse,mse_ratio,clean_rel_l2,adv_rel_l2,rel_l2_ratio,clean_psnr,adv_psnr,clean_ssim,adv_ssim,pred_shift_rel_l2,init_shift_rel_l2,delta_l2,delta_linf,delta_mean_abs,delta_rel_l2,clean_sino_l2,adv_sino_l2,success_rel_l2,success_mse,clean_e_ran_l2,clean_e_nul_l2,clean_e_ran_frac,clean_e_nul_frac,adv_e_ran_l2,adv_e_nul_l2,adv_e_ran_frac,adv_e_nul_frac
21.63330841064453,7.365588317043148e-08,0.5018348693847656,6813235.383025357,0.0016057974426075816,4.19148063659668,2610.2175314156216,71.32792558713925,2.9943916554978167,0.9998682167934686,0.024267236302183966,4.191251754760742,4.355138301849365,53.753761291503906,1.1490739583969116,0.20985159277915955,0.04941539485055167,1087.7938232421875,1089.60107421875,1.0,1.0,6.5257072492386214e-06,0.03473871201276779,0.00018785115714250365,1.0,90.45161437988281,6.369314193725586,0.9975299180961329,0.07024287526048523
25.377155303955078,8.883851876362314e-08,0.49156439304351807,5533234.906262302,0.0015033762902021408,3.5363664627075195,2352.2829818155687,70.51398691210323,3.08419556869502,0.9998481439321921,0.015029643027876585,3.536435842514038,3.629380464553833,53.887413024902344,1.0153697729110718,0.21043215692043304,0.0392204805584191,1373.9610595703125,1375.00927734375,1.0,1.0,9.136717380897608e-06,0.03815141320228577,0.00023948568647911054,1.0,89.47173309326172,6.971421241760254,0.9969781813557063,0.07768213077788387
30.049959182739258,1.139872054523039e-07,0.4912734925746918,4309900.314033554,0.0014381167711690068,2.9855735301971436,2076.029978963565,69.43143893517062,3.0867666826719313,0.9998141245731773,0.02382015205087643,2.9858462810516357,3.0618927478790283,53.57444381713867,0.976715624332428,0.20878849923610687,0.03191979383643938,1678.408203125,1679.602294921875,1.0,1.0,1.0785716767713893e-05,0.043215349316596985,0.00024958069154312274,1.0,89.4306869506836,7.1538615226745605,0.9968157976710014,0.07973864926348101
26.832815170288086,1.1083736239925202e-07,0.4977570176124573,4490877.505903338,0.001588132930919528,3.3655221462249756,2119.1690447954757,69.55313817688433,3.0298260836959914,0.9997977181704446,0.023841482582415224,3.3661458492279053,3.4774069786071777,53.792510986328125,1.0776705741882324,0.20981228351593018,0.03945397653469747,1363.42431640625,1364.70166015625,1.0,1.0,9.164833500108216e-06,0.04261407628655434,0.00021506587256474029,1.0,89.99913024902344,7.443556785583496,0.9965970931796975,0.08242554161250928
31.30495262145996,1.510109086666489e-07,0.502550482749939,3327908.4748725067,0.001588916522450745,2.898589849472046,1824.2555908483225,68.20991679179606,2.9882030549253407,0.9997681049378256,0.020068943879612285,2.898712158203125,2.9453177452087402,54.03416061401367,1.1426701545715332,0.21071667969226837,0.02866713795135662,1884.881591796875,1885.4993896484375,1.0,1.0,1.3958760973764583e-05,0.049740951508283615,0.0002806291296219974,0.999999925106177,90.500732421875,6.588287353515625,0.9973607437069418,0.07260603310950803
22.226110458374023,8.349361735326966e-08,0.48291149735450745,5783813.334033208,0.0016640758840367198,4.0020294189453125,2404.95608243368,70.7834675972941,3.161324278138725,0.9998618236667076,0.019352701796873335,4.002420425415039,4.21354866027832,53.48236083984375,1.1296663284301758,0.2084043174982071,0.05162100519028941,1036.05810546875,1037.495361328125,1.0,1.0,6.684424988634419e-06,0.036985933780670166,0.00018072884216669088,1.0,88.67106628417969,7.033063888549805,0.996869230482224,0.07906801260336081
24.7991943359375,8.740929757777849e-08,0.4935096502304077,5645962.888459014,0.0015259882202371955,3.62593674659729,2376.123680714707,70.58442369745859,3.067043505914296,0.9998060769730119,0.020219812329709767,3.626539945602417,3.6890156269073486,53.920467376708984,1.1209102869033813,0.21036194264888763,0.04008351695563926,1345.2030029296875,1346.1534423828125,1.0,1.0,9.367660823045298e-06,0.03784327954053879,0.000247538293107245,1.0,89.75840759277344,5.393599510192871,0.9981994792990179,0.05998199352029754
21.817424774169922,1.290535465159337e-07,0.5072490572929382,3930531.7132862387,0.002107615815475583,4.178468227386475,1982.5568762130417,68.89230056124867,2.947787514170519,0.9997561093148478,0.014666301018135786,4.179381847381592,4.416576385498047,53.968101501464844,1.105278491973877,0.21047669649124146,0.05271655627180703,1023.7410278320312,1025.0343017578125,1.0,1.0,6.875349754409399e-06,0.04598274827003479,0.000149520200794301,1.0,90.81375885009766,7.976830005645752,0.9961645232882397,0.08750034312578045
29.563491821289062,1.1775517805290292e-07,0.5011467933654785,4255836.5725567695,0.0014857449568808079,3.0650439262390137,2062.9677469501944,69.29019986531476,3.0003504417106535,0.999741986213721,0.021925754981416152,3.065484046936035,3.110011339187622,53.932193756103516,1.1070986986160278,0.2102459967136383,0.03077414786133749,1752.5162353515625,1753.4508056640625,1.0,1.0,1.1567684850888327e-05,0.04392380267381668,0.0002633579559270317,0.999999830374902,90.46363067626953,5.207720756530762,0.9983471248341316,0.057471859191976345
22.912878036499023,7.950026770231489e-08,0.5092372894287109,6405478.926631124,0.001575123518705368,3.9864871501922607,2530.9044673962144,70.9963140893545,2.9307980219007295,0.9998209572821911,0.016013184573343827,3.9870142936706543,4.132467746734619,54.16831970214844,1.1285792589187622,0.21179629862308502,0.045996167390949444,1177.6702880859375,1178.967529296875,1.0,1.0,6.838669833086897e-06,0.036090608686208725,0.0001894861122087247,0.9999998967795211,91.11093139648438,6.491590976715088,0.997471426906881,0.07106915070664818
