gt_norm,clean_mse,adv_mse,mse_ratio,clean_rel_l2,adv_rel_l2,rel_l2_ratio,clean_psnr,adv_psnr,clean_ssim,adv_ssim,pred_shift_rel_l2,init_shift_rel_l2,delta_l2,delta_linf,delta_mean_abs,clean_sino_l2,adv_sino_l2,success_rel_l2,success_mse,clean_e_ran_l2,clean_e_nul_l2,clean_e_ran_frac,clean_e_nul_frac,adv_e_ran_l2,adv_e_nul_l2,adv_e_ran_frac,adv_e_nul_frac
0.0,1.3702108891955334e-11,4.9522018343850505e-06,361418.95188794954,0.0037016359328845283,2.225354313850403,601.1813031316341,108.63212612915018,53.0520166330672,0.9999999579155326,0.9941158004383411,2.2252800408750772,2.188638085499406,0.15535643696784973,0.003020135685801506,0.0005937872338108718,0.0,0.15535643696784973,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.28014567494392395,0.051529332995414734,0.9835009516810521,0.18090283939105806
0.0,1.3702108891955334e-11,4.9522095650900155e-06,361419.51608613436,0.0037016359328845283,2.225356176495552,601.1818063267573,108.63212612915018,53.052009454656556,0.9999999579155326,0.9941157989886716,2.225281670689583,2.1886411122977734,0.15535643696784973,0.0030199666507542133,0.00059378647711128,0.0,0.15535643696784973,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.280146062374115,0.05152855068445206,0.983501488622106,0.18089994153485853
0.0,1.3702108891955334e-11,4.952199560648296e-06,361418.78594730695,0.0037016359328845283,2.2253538481891155,601.1811773328533,108.63212612915018,53.05201862707226,0.9999999579155326,0.9941158101375114,2.22527957521379,2.188638783991337,0.15535643696784973,0.0030199976172298193,0.0005937869427725673,0.0,0.15535643696784973,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.2801457643508911,0.05152849853038788,0.9835014713603162,0.18089994770775183
0.0,1.3702108891955334e-11,4.952204108121805e-06,361419.11782859213,0.0037016359328845283,2.225355012342334,601.1814918298053,108.63212612915018,53.052014639063046,0.9999999579155326,0.9941158132811317,2.2252805065363646,2.1886401809751987,0.15535642206668854,0.0030200164765119553,0.0005937862442806363,0.0,0.15535642206668854,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.28014594316482544,0.051528364419937134,0.9835015846175077,0.18089938225498328
0.0,1.3702108891955334e-11,4.952210474584717e-06,361419.5824623914,0.0037016359328845283,2.225356176495552,601.1818063267573,108.63212612915018,53.052008657056106,0.9999999579155326,0.9941158135654592,2.2252819035202265,2.1886411122977734,0.15535642206668854,0.0030199699103832245,0.0005937861860729754,0.0,0.15535642206668854,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.280146062374115,0.05152865871787071,0.983501488622106,0.18090032080496915
0.0,1.3702108891955334e-11,4.952195467922138e-06,361418.48725415027,0.0037016359328845283,2.2253526840358973,601.1808628359013,108.63212612915018,53.052022216283675,0.9999999579155326,0.994115816384706,2.2252784110605717,2.188638551160693,0.15535645186901093,0.003020073752850294,0.0005937866517342627,0.0,0.15535642206668854,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.2801457345485687,0.05152808502316475,0.9835018812350143,0.18089859065098232
0.0,1.3702108891955334e-11,4.952197286911542e-06,361418.62000666437,0.0037016359328845283,2.2253531496971846,601.1809886346821,108.63212612915018,53.052020621078235,0.9999999579155326,0.9941158066294713,2.225278876721859,2.188638783991337,0.15535642206668854,0.0030199254397302866,0.0005937867099419236,0.0,0.15535642206668854,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.2801457643508911,0.051528200507164,0.9835017800609114,0.18089895822467447
0.0,1.3702108891955334e-11,4.95220683660591e-06,361419.3169573633,0.0037016359328845283,2.2253552451729774,601.1815547291957,108.63212612915018,53.05201224625929,0.9999999579155326,0.9941158174779652,2.225280972197652,2.1886404138058424,0.15535643696784973,0.00302001996897161,0.0005937865935266018,0.0,0.15535642206668854,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.2801459729671478,0.051528606563806534,0.9835015863436756,0.18090021341668838
0.0,1.3702108891955334e-11,4.9521895562065765e-06,361418.05580847955,0.0037016359328845283,2.2253517527133226,601.1806112383397,108.63212612915018,53.05202700190351,0.9999999579155326,0.9941158188755748,2.2252772469073534,2.1886371541768312,0.15535643696784973,0.0030200432520359755,0.0005937876994721591,0.0,0.15535642206668854,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.2801455557346344,0.05152815952897072,0.9835016650775653,0.1808989279242019
0.0,1.3702108891955334e-11,4.952210929332068e-06,361419.6156505199,0.0037016359328845283,2.2253564093261957,601.1818692261477,108.63212612915018,53.05200825825594,0.9999999579155326,0.9941158200409168,2.22528213635087,2.1886408794671297,0.15535643696784973,0.003020065138116479,0.000593786418903619,0.0,0.15535642206668854,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.2801460325717926,0.0515289232134819,0.98350128109583,0.18090123043581113
0.0,1.3702108891955334e-11,4.9522095650900155e-06,361419.51608613436,0.0037016359328845283,2.2253559436649084,601.1817434273669,108.63212612915018,53.05200985345684,0.9999999579155326,0.9941158110825998,2.2252819035202265,2.1886411122977734,0.15535643696784973,0.003020032774657011,0.0005937865353189409,0.0,0.15535645186901093,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.280146062374115,0.05152847245335579,0.983501591522177,0.1808996858178388
0.0,1.3702108891955334e-11,4.952203198627103e-06,361419.0514523351,0.0037016359328845283,2.2253545466810465,601.1813660310245,108.63212612915018,53.0520154366646,0.9999999579155326,0.9941158051557741,2.2252805065363646,2.1886390168219805,0.15535643696784973,0.003019950818270445,0.0005937872920185328,0.0,0.15535643696784973,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.2801457941532135,0.05152883008122444,0.9835012672862288,0.18090105489481131
0.0,1.3702108891955334e-11,4.9522013796376996e-06,361418.91869982105,0.0037016359328845283,2.225354313850403,601.1813031316341,108.63212612915018,53.05201703186814,0.9999999579155326,0.9941157833746895,2.2252798080444336,2.188639249652624,0.15535643696784973,0.0030200255569070578,0.0005937869427725673,0.0,0.15535642206668854,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.2801458239555359,0.05152849480509758,0.983501474812677,0.18089989677566776
0.0,1.3702108891955334e-11,4.952202743879752e-06,361419.0182642066,0.0037016359328845283,2.225354313850403,601.1813031316341,108.63212612915018,53.0520154366646,0.9999999579155326,0.9941158039343674,2.2252800408750772,2.1886397153139114,0.15535643696784973,0.0030200558248907328,0.000593785778619349,0.0,0.15535643696784973,1.0,1.0,1.607987215601625e-10,0.00047380937030538917,3.3937427531125e-07,0.9999999385748141,0.28014588356018066,0.05152835324406624,0.983501684065327,0.18089939980062408
